ORDER_ID,CUSTOMER_ID,PROD_ID,TRANSACTION_DATE,UNITS,MOBILE NUMBER,CUSTOMER_NAME,DOB,STATE_CODE,PRODUCT_CATEGORY,SUB_CATEGORY,PRODUCT_NAME,PRICE,SALES
39,206,13,13-11-2019,4,1000032839,Julie Creighton,4/12/1960,WA,VEGETABLES,CHILLI LEMON GARLIC AND GINGER,LEMON(NEEMBU),59,236
40,531,32,26-11-2019,2,1000033165,Annie Zypern,4/3/1960,QLD,VEGETABLES,EXOTIC VEGETABLES,LEAFY LETTUCE,199,398
41,1,30,17-08-2019,9,1000032547,Rick Hansen,15-09-1984,QLD,VEGETABLES,EXOTIC VEGETABLES,HERB THYME,20,180
42,454,28,24-02-2019,1,1000033088,Jennifer Ferguson,1/1/1949,QLD,VEGETABLES,EXOTIC VEGETABLES,CURLED PARSLEY,19,19
43,131,109,13-09-2019,6,1000032677,Corey Roper,25-12-1947,WA,FRUITS,SEASONAL FRUITS,sun melon,48,288
44,536,65,22-01-2019,5,1000033170,Raymond Buch,16-12-1968,QLD,VEGETABLES,ROOTY VEGETABLES,yan(Rataaloo),49,245
45,404,119,03/08/19,4,1000033038,Nicole Fjeld,11/10/1931,WA,CHOCOLATES AND SWEETS,CANDIES,CHUPA CHUPS SOUR BELT 57.6 GM,30,120
46,295,133,25-11-2019,10,1000032928,Maureen Gastineau,13-03-1973,WA,CHOCOLATES AND SWEETS,CANDIES,MENTOS PURE FRESH MINT SUGARFREE GUM 56 GM,100,1000
47,42,80,16-04-2019,2,1000032588,Vivek Grady,1/5/1988,NSW,FRUITS,BANANA,banana red,99,198
48,227,3,27-04-2019,10,1000032860,Ted Trevino,7/7/1956,SA,VEGETABLES,BEANS,COW PEAS(BORA BEANS),59,590
49,520,58,02/09/19,3,1000033154,Victor Preis,3/9/1957,QLD,VEGETABLES,ROOTY VEGETABLES,baby potato,49,147
50,213,111,16-04-2019,9,1000032846,James Lanier,27-07-1934,SA,FRUITS,SEASONAL FRUITS,pomigranate kesar,99,891
51,187,35,28-03-2019,2,1000032804,Karen Seio,11/2/1959,WA,VEGETABLES,LEAFY VEGETABLES,COLOCASSIA LEAVES (ARBI KA PATTA),10,20
52,421,82,21-05-2019,10,1000033055,Paul Lucas,24-09-1949,QLD,FRUITS,BANANA,yellaki,85,850
53,330,162,23-10-2019,9,1000032963,Eric Murdock,3/3/1944,WA,CHOCOLATES AND SWEETS,CANDIES,CAVENDISH & HARVEY BARLEY SUGAR DROPS 200 GM,225,2025
54,77,30,09/05/19,2,1000032623,Raymond Messe,19-08-1986,NSW,VEGETABLES,EXOTIC VEGETABLES,HERB THYME,20,40
55,103,86,17-12-2019,9,1000032649,Rose O'Brian,5/9/1951,SA,FRUITS,CITRUS_FRUITS,orange(santra),85,765
56,466,62,01/02/19,10,1000033100,Darren Koutras,19-12-1937,QLD,VEGETABLES,ROOTY VEGETABLES,delhi carrot,49,490
57,247,21,23-04-2019,3,1000032880,Dionis Lloyd,25-10-1965,VIC,VEGETABLES,CUCUMBER AND GOURDS,MADRAS CUCUMBER (MADRAS KHEERA),33,99
58,570,143,23-11-2019,1,1000033204,Mary O'Rourke,4/6/1948,QLD,CHOCOLATES AND SWEETS,CANDIES,RAVALGAON PAN PASAND GOLD CANDY 200 GM,50,50
59,278,109,23-04-2019,6,1000032911,Shirley Jackson,13-10-1955,WA,FRUITS,SEASONAL FRUITS,sun melon,48,288
60,516,168,18-02-2019,3,1000033150,Bill Tyler,8/9/1959,QLD,CHOCOLATES AND SWEETS,CANDIES,PARLE 2 IN 1 ECLAIRS TOFFEE 277 GM,50,150
61,272,135,10/08/19,9,1000032905,Scott Cohen,16-01-1984,WA,CHOCOLATES AND SWEETS,CANDIES,NATURE VALLEY CRUNCHY APPLE CRUNCH 42 GM,55,495
62,32,168,12/05/19,4,1000032578,Joel Eaton,3/5/1969,QLD,CHOCOLATES AND SWEETS,CANDIES,PARLE 2 IN 1 ECLAIRS TOFFEE 277 GM,50,200
63,167,36,09/01/19,6,1000032767,Alex Grayson,27-01-1955,WA,VEGETABLES,LEAFY VEGETABLES,CORIANDER (DHANIA PATTA),10,60
64,578,99,21-03-2019,3,1000033212,Paul Knutson,9/10/1963,VIC,FRUITS,IMPORTED_FRUITS,imported orange,149,447
65,582,178,17-10-2019,1,1000033216,Linda Cazamias,27-08-1956,QLD,CHOCOLATES AND SWEETS,CANDIES,Simpkins Tropical Fruit Travel Sweets Candy 175 gm,275,275
66,12,115,13-06-2019,6,1000032558,Magdelene Morse,17-02-1956,VIC,CHOCOLATES AND SWEETS,CANDIES,ALPENLIEBE JUZT JELLY MANGO BOTTLES 72.8 GM,30,180
67,210,109,28-03-2019,1,1000032843,Cynthia Voltz,14-10-1933,QLD,FRUITS,SEASONAL FRUITS,sun melon,48,48
68,230,166,18-01-2019,2,1000032863,Tony Molinari,9/5/1958,SA,CHOCOLATES AND SWEETS,CANDIES,MALA'S LITCHI MELTIES 300 GM,69,138
69,151,17,12/11/19,4,1000032730,Scot Wooten,30-05-1957,WA,VEGETABLES,CUCUMBER AND GOURDS,COCCINIA(TENDLI),78,312
70,289,26,09/06/19,1,1000032922,Stewart Visinsky,31-10-1946,QLD,VEGETABLES,EXOTIC VEGETABLES,CELERY (AJWAIN),149,149
71,20,28,26-07-2019,8,1000032566,Ann Blume,21-10-1948,NSW,VEGETABLES,EXOTIC VEGETABLES,CURLED PARSLEY,19,152
72,392,98,06/09/19,5,1000033026,Arthur Gainer,11/11/1959,WA,FRUITS,IMPORTED_FRUITS,imported kiwi eaches,39,195
73,589,124,21-04-2019,6,1000033223,Steve Carroll,20-12-1932,QLD,CHOCOLATES AND SWEETS,CANDIES,GOLIBOLI ORANGE FLAVOURED HARD BOILED SUGAR CANDY 100 ,20,120
74,241,78,26-02-2019,3,1000032874,Charles Sheldon,22-02-1959,WA,FRUITS,APPLE,Fuji,239,717
75,2,169,09/02/19,1,1000032548,Justin Ritter,15-07-1974,WA,CHOCOLATES AND SWEETS,CANDIES,PARLE KACCHA MANGO BITE CANDY 277 GM,50,50
76,313,150,23-10-2019,4,1000032946,Mitch Gastineau,19-12-1946,WA,CHOCOLATES AND SWEETS,CANDIES,SWAD KACCHA AAM & LEMON CANDY 1.5 GM (PACK OF 90),100,400
77,487,177,12/02/19,1,1000033121,Craig Carroll,27-11-1963,QLD,CHOCOLATES AND SWEETS,CANDIES,SIMPKINS ORANGE LEMON & GRAPE FRUIT DROPS 200 GM,225,225
78,16,165,28-10-2019,3,1000032562,Thomas Boland,10/1/1952,VIC,CHOCOLATES AND SWEETS,CANDIES,MALA'S ASSORTED MELTIES 300 GM,69,207
79,220,144,26-06-2019,5,1000032853,Brosina Hoffman,22-04-1948,WA,CHOCOLATES AND SWEETS,CANDIES,RAVALGAON SUPRIME ASSORTED TOFFEE 238 GM,50,250
80,167,56,13-09-2019,2,1000032767,Alex Grayson,27-01-1955,WA,VEGETABLES,SPROUTS AND PEAS,sprouted mixed beans ankruti daane (200gm),32,64
81,362,17,25-01-2019,5,1000032995,Adam Shillingsburg,14-08-1983,QLD,VEGETABLES,CUCUMBER AND GOURDS,COCCINIA(TENDLI),78,390
82,411,69,18-07-2019,1,1000033045,Charles Crestani,4/9/1954,VIC,VEGETABLES,SEASONAL VEGETABLES,coconut,30,30
83,24,5,13-07-2019,3,1000032570,Naresj Patel,10/11/1960,NSW,VEGETABLES,BRINJAL,BIG BLACK BRINJAL (BHARTA BAINGAN),38,114
84,126,155,23-12-2019,2,1000032672,Sally Matthias,15-04-1976,SA,CHOCOLATES AND SWEETS,CANDIES,TIC TAC POPCORN FENNEL MINT 10.2 GM,10,20
85,485,32,19-02-2019,3,1000033119,Russell Applegate,27-09-1956,QLD,VEGETABLES,EXOTIC VEGETABLES,LEAFY LETTUCE,199,597
86,348,101,05/06/19,5,1000032981,Jennifer Braxton,11/11/1977,WA,FRUITS,MELONS,musk melons,90,450
87,413,29,01/04/19,9,1000033047,Maris LaWare,30-04-1932,VIC,VEGETABLES,EXOTIC VEGETABLES,GREEN ZUCCHINI (HARI TURAII),149,1341
88,457,121,27-11-2019,5,1000033091,Paul Gonzalez,26-01-1941,QLD,CHOCOLATES AND SWEETS,CANDIES,FRUITELLA ORANGE CANDY 36 GM (STICK),30,150
89,324,69,22-12-2019,3,1000032957,Meg O'Connel,27-02-1966,WA,VEGETABLES,SEASONAL VEGETABLES,coconut,30,90
90,116,31,02/02/19,6,1000032662,Gary McGarr,10/4/1961,SA,VEGETABLES,EXOTIC VEGETABLES,ICEBERG LETTUCE,119,714
91,160,152,17-06-2019,9,1000032759,Eugene Hildebrand,1/11/1954,SA,CHOCOLATES AND SWEETS,CANDIES,TIC TAC ELAICHI MINTS 10.7 GM,25,225
92,191,61,19-08-2019,3,1000032811,Cyra Reiten,10/8/1980,WA,VEGETABLES,ROOTY VEGETABLES,colocasia small pack,68,204
93,162,20,16-05-2019,5,1000032761,Joy Smith,28-11-1982,SA,VEGETABLES,CUCUMBER AND GOURDS,CUCUMBER (FRENCH),44,220
94,143,108,05/12/19,1,1000032713,Claire Gute,9/4/1955,WA,FRUITS,SEASONAL FRUITS,sapota,49,49
95,353,100,06/02/19,2,1000032986,Dean percer,20-05-1958,WA,FRUITS,IMPORTED_FRUITS,important thai tangerine,199,398
96,550,178,26-06-2019,4,1000033184,Toby Ritter,4/4/1984,WA,CHOCOLATES AND SWEETS,CANDIES,Simpkins Tropical Fruit Travel Sweets Candy 175 gm,275,1100
97,557,48,01/06/19,2,1000033191,Frank Olsen,24-04-1980,QLD,VEGETABLES,ONION POTATO AND TOMATO,SAMBHAR ONION - PYAAZ,229,458
98,529,80,10/05/19,1,1000033163,Sonia Cooley,15-03-1947,QLD,FRUITS,BANANA,banana red,99,99
99,226,14,04/02/19,6,1000032859,Georgia Rosenberg,21-04-1971,SA,VEGETABLES,CHILLI LEMON GARLIC AND GINGER,LEMON GRASS,25,150
100,555,86,25-08-2019,10,1000033189,Edward Hooks,27-02-1990,WA,FRUITS,CITRUS_FRUITS,orange(santra),85,850
101,374,139,17-09-2019,8,1000033008,Keith Herrera,22-07-1962,WA,CHOCOLATES AND SWEETS,CANDIES,NATURO MANGO FRUIT BITES 180 GM,100,800
102,471,58,03/04/19,1,1000033105,Kean Nguyen,28-08-1964,QLD,VEGETABLES,ROOTY VEGETABLES,baby potato,49,49
103,160,169,19-06-2019,1,1000032759,Eugene Hildebrand,1/11/1954,SA,CHOCOLATES AND SWEETS,CANDIES,PARLE KACCHA MANGO BITE CANDY 277 GM,50,50
104,543,127,24-07-2019,7,1000033177,Parhena Norris,30-04-1977,QLD,CHOCOLATES AND SWEETS,CANDIES,MAPRO FALERO RAW MANGO PULPY FRUIT CHEWS 150 GM,49,343
105,514,40,16-04-2019,9,1000033148,Matt Abelman,7/10/1952,QLD,VEGETABLES,LEAFY VEGETABLES,GREEN AMARANTHUS (HARI CHAULAEE),15,135
106,457,37,02/11/19,9,1000033091,Paul Gonzalez,26-01-1941,QLD,VEGETABLES,LEAFY VEGETABLES,CURRY LEAVES,5,45
107,10,164,05/06/19,4,1000032556,Greg Maxwell,15-08-1952,ACT,CHOCOLATES AND SWEETS,CANDIES,FOX'S CRYSTAL CLEAR FRUITS FLAVOURED CANDY 90 GM,47,188
108,229,74,23-07-2019,3,1000032862,Emily Ducich,6/4/1988,SA,FRUITS,APPLE,granny smith,259,777
109,455,87,25-11-2019,5,1000033089,Alan Hwang,28-03-1964,QLD,FRUITS,CITRUS_FRUITS,papaya,42,210
110,220,64,16-07-2019,4,1000032853,Brosina Hoffman,22-04-1948,WA,VEGETABLES,ROOTY VEGETABLES,white raddish,9,36
111,210,71,22-12-2019,5,1000032843,Cynthia Voltz,14-10-1933,QLD,VEGETABLES,SEASONAL VEGETABLES,okra(bhindi),69,345
112,594,4,15-07-2019,6,1000033228,Patrick Ryan,10/11/1946,SA,VEGETABLES,BEANS, FRENCH BEANS(FARSI),68,408
113,187,28,28-04-2019,1,1000032804,Karen Seio,11/2/1959,WA,VEGETABLES,EXOTIC VEGETABLES,CURLED PARSLEY,19,19
114,442,126,06/04/19,6,1000033076,Christina Anderson,5/11/1939,QLD,CHOCOLATES AND SWEETS,CANDIES,KOPIKO CANDY CAPPUCCINO 175 GM,115,690
115,53,161,22-04-2019,4,1000032599,Deirdre Greer,14-08-1977,NSW,CHOCOLATES AND SWEETS,CANDIES,CADBURY GOLD CHOCLAIRS 550 GM,224,896
116,597,175,02/10/19,1,1000033231,Julia Barnett,22-05-1952,SA,CHOCOLATES AND SWEETS,CANDIES,RINDA PUDDING CUP JELLY 80 GM (PACK OF 6),139,139
117,453,144,15-01-2019,10,1000033087,Matt Collins,22-02-1988,QLD,CHOCOLATES AND SWEETS,CANDIES,RAVALGAON SUPRIME ASSORTED TOFFEE 238 GM,50,500
118,254,79,16-10-2019,1,1000032887,Cynthia Delaney,30-03-1943,WA,FRUITS,BANANA,nendran,99,99
119,522,9,18-06-2019,2,1000033156,Alejandro Grove,9/7/1975,QLD,VEGETABLES,CHILLI LEMON GARLIC AND GINGER,CHILLI GREEN (HARI MIRCH),59,118
120,343,23,15-06-2019,3,1000032976,Larry Tron,23-06-1980,WA,VEGETABLES,EXOTIC VEGETABLES,AMERICAN SWEET CORN (BHUTTA),18,54
121,382,172,03/10/19,5,1000033016,Gary Hwang,14-03-1954,WA,CHOCOLATES AND SWEETS,CANDIES,PARLE MANGO BITE CANDY 289 GM,50,250
122,209,171,07/11/19,3,1000032842,Michelle Tran,27-12-1983,WA,CHOCOLATES AND SWEETS,CANDIES,PARLE LONDONDERRY LACTO BONBON CANDY 277 GM,50,150
123,308,101,01/01/19,2,1000032941,John Castell,3/12/1963,WA,FRUITS,MELONS,musk melons,90,180
124,241,51,25-11-2019,6,1000032874,Charles Sheldon,22-02-1959,WA,VEGETABLES,SPROUTS AND PEAS,brown sprouts(250gm),32,192
125,73,34,06/01/19,3,1000032619,Aimee Bixby,1/6/1988,NSW,VEGETABLES,EXOTIC VEGETABLES,RED CAPCICUM (LAL SHIMLA MIRCH),149,447
126,62,50,11/01/19,8,1000032608,Kimberly Carter,10/9/1980,NSW,VEGETABLES,ONION POTATO AND TOMATO,TOMATO GREEN,36,288
127,156,6,10/10/19,2,1000032755,John Lee,27-12-1972,NSW,VEGETABLES,BRINJAL,NAGPURE BRINJAL (BAINGAN),48,96
128,398,149,02/02/19,7,1000033032,Kean Thornton,19-02-1975,VIC,CHOCOLATES AND SWEETS,CANDIES,SWAD IMLI & GUAVA CANDY 100 GM,100,700
129,354,150,13-04-2019,4,1000032987,Gary Zandusky,16-08-1943,WA,CHOCOLATES AND SWEETS,CANDIES,SWAD KACCHA AAM & LEMON CANDY 1.5 GM (PACK OF 90),100,400
130,114,131,02/10/19,9,1000032660,Christopher Conant,13-09-1947,SA,CHOCOLATES AND SWEETS,CANDIES,MENTOS MINT STICK 31.2 GM,15,135
131,253,155,07/06/19,3,1000032886,Cynthia Arntzen,1/7/1950,SA,CHOCOLATES AND SWEETS,CANDIES,TIC TAC POPCORN FENNEL MINT 10.2 GM,10,30
132,537,175,04/05/19,8,1000033171,Steve Nguyen,2/2/1956,QLD,CHOCOLATES AND SWEETS,CANDIES,RINDA PUDDING CUP JELLY 80 GM (PACK OF 6),139,1112
133,497,19,08/08/19,1,1000033131,Cathy Hwang,5/2/1961,QLD,VEGETABLES,CUCUMBER AND GOURDS,CUCUMBER (KHEERA),39,39
134,385,35,26-12-2019,6,1000033019,Muhammed MacIntyre,31-12-1976,WA,VEGETABLES,LEAFY VEGETABLES,COLOCASSIA LEAVES (ARBI KA PATTA),10,60
135,225,18,18-11-2019,10,1000032858,Carol Triggs,13-09-1990,SA,VEGETABLES,CUCUMBER AND GOURDS,CUCUMBER (DESI KHEERA),34,340
136,341,155,13-09-2019,10,1000032974,Kristen Hastings,17-07-1988,WA,CHOCOLATES AND SWEETS,CANDIES,TIC TAC POPCORN FENNEL MINT 10.2 GM,10,100
137,443,114,26-11-2019,4,1000033077,Philip Fox,14-08-1963,QLD,CHOCOLATES AND SWEETS,CANDIES,ALPENLIEBE JUZT JELLY COLA BOTTLES 72.8 GM,30,120
138,234,77,02/08/19,3,1000032867,Bryan Mills,12/11/1952,SA,FRUITS,APPLE,royal gala,179,537
139,380,99,19-10-2019,10,1000033014,Chuck Magee,10/11/1963,WA,FRUITS,IMPORTED_FRUITS,imported orange,149,1490
140,116,25,15-12-2019,10,1000032662,Gary McGarr,10/4/1961,SA,VEGETABLES,EXOTIC VEGETABLES,BROCCOLI,119,1190
141,8,69,03/03/19,1,1000032554,Jane Waco,29-04-1987,QLD,VEGETABLES,SEASONAL VEGETABLES,coconut,30,30
142,316,73,07/11/19,5,1000032949,Thomas Thornton,16-01-1979,WA,VEGETABLES,SEASONAL VEGETABLES,sanke gourd,39,195
143,519,125,22-04-2019,8,1000033153,Natalie Webber,24-11-1960,QLD,CHOCOLATES AND SWEETS,CANDIES,GOLIBOLI STRAWBERRY FLAVOURED HARD BOILED SUGAR CANDY ,20,160
144,430,20,05/09/19,3,1000033064,Cari MacIntyre,22-02-1933,QLD,VEGETABLES,CUCUMBER AND GOURDS,CUCUMBER (FRENCH),44,132
145,299,152,11/05/19,6,1000032932,Brad Norvell,13-02-1971,WA,CHOCOLATES AND SWEETS,CANDIES,TIC TAC ELAICHI MINTS 10.7 GM,25,150
146,240,11,13-11-2019,6,1000032873,Russell D'Ascenzo,10/12/1988,WA,VEGETABLES,CHILLI LEMON GARLIC AND GINGER,GINGER(ADRAKH),99,594
147,454,34,15-03-2019,3,1000033088,Jennifer Ferguson,1/1/1949,QLD,VEGETABLES,EXOTIC VEGETABLES,RED CAPCICUM (LAL SHIMLA MIRCH),149,447
148,86,156,28-08-2019,7,1000032632,Lindsay Williams,14-03-1932,WA,CHOCOLATES AND SWEETS,CANDIES,TIC TAC STRAWBERRY MIX MINTS 13.1 GM,20,140
149,386,168,27-04-2019,6,1000033020,Art Ferguson,28-07-1950,WA,CHOCOLATES AND SWEETS,CANDIES,PARLE 2 IN 1 ECLAIRS TOFFEE 277 GM,50,300
150,585,176,09/03/19,1,1000033219,Jennifer Halladay,22-12-1971,QLD,CHOCOLATES AND SWEETS,CANDIES,RINDA PURE LYCHEE JELLY 25 GM,99,99
151,314,76,25-11-2019,10,1000032947,Roger Barcio,26-04-1976,WA,FRUITS,APPLE,red delicious,159,1590
152,495,112,19-06-2019,1,1000033129,Delfina Latchford,26-07-1953,QLD,CHOCOLATES AND SWEETS,CANDIES,ALPENLIEBE GOLD CARAMEL CANDY 30.6 GM (STICK),20,20
153,512,22,28-10-2019,5,1000033146,Dorothy Badders,20-09-1946,NSW,VEGETABLES,CUT VEGETABLES,SWEET CORN SHELLED,20,100
154,204,72,06/04/19,7,1000032837,Maxwell Schwartz,15-02-1947,WA,VEGETABLES,SEASONAL VEGETABLES,pumpkin disco,39,273
155,91,35,25-08-2019,4,1000032637,Natalie Fritzler,18-05-1968,NT,VEGETABLES,LEAFY VEGETABLES,COLOCASSIA LEAVES (ARBI KA PATTA),10,40
156,468,11,22-11-2019,5,1000033102,Marina Lichtenstein,9/3/1952,QLD,VEGETABLES,CHILLI LEMON GARLIC AND GINGER,GINGER(ADRAKH),99,495
157,50,53,14-03-2019,5,1000032596,Lena Creighton,25-11-1975,VIC,VEGETABLES,SPROUTS AND PEAS,green sprouts(hara chana 250gm),32,160
158,354,173,17-09-2019,9,1000032987,Gary Zandusky,16-08-1943,WA,CHOCOLATES AND SWEETS,CANDIES,PARLE ORANGE BITE CANDY 289 GM,50,450
159,163,33,04/09/19,1,1000032762,Alice McCarthy,2/9/1946,SA,VEGETABLES,EXOTIC VEGETABLES,RED CABBAGE (LAL PATTA GOBHI),99,99
160,482,92,01/11/19,6,1000033116,Harold Dahlen,11/8/1941,NSW,FRUITS,CITRUS_FRUITS,parlee namkeen alu bhujia,na,#VALUE!
161,542,130,10/01/19,1,1000033176,George Zrebassa,21-08-1929,QLD,CHOCOLATES AND SWEETS,CANDIES,MENTOS GUM PURE FRESH SPEARMINT 56 GM,100,100
162,486,147,25-11-2019,7,1000033120,Erica Smith,11/1/1972,QLD,CHOCOLATES AND SWEETS,CANDIES,SWAD DIGESTIVE CANDY 1.5 GM (PACK OF 100),100,700
163,58,84,22-10-2019,2,1000032604,Patrick O'Brill,28-01-1962,VIC,FRUITS,CITRUS_FRUITS,jujube(ber),35,70
164,152,82,18-02-2019,5,1000032736,Tom Ashbrook,6/1/1971,WA,FRUITS,BANANA,yellaki,85,425
165,544,105,01/09/19,2,1000033178,Stuart Calhoun,19-05-1990,QLD,FRUITS,SEASONAL FRUITS,dates imported(500gm),189,378
166,193,114,04/10/19,10,1000032819,Janet Molinari,8/11/1986,WA,CHOCOLATES AND SWEETS,CANDIES,ALPENLIEBE JUZT JELLY COLA BOTTLES 72.8 GM,30,300
167,19,80,03/03/19,3,1000032565,Ritsa Hightower,30-09-1949,NSW,FRUITS,BANANA,banana red,99,297
168,539,14,19-06-2019,4,1000033173,Carl Jackson,20-07-1969,QLD,VEGETABLES,CHILLI LEMON GARLIC AND GINGER,LEMON GRASS,25,100
169,28,4,02/09/19,1,1000032574,Karen Ferguson,30-03-1988,NSW,VEGETABLES,BEANS, FRENCH BEANS(FARSI),68,68
